,PRED,SIGMA
729,342.03354,102.698235
730,342.09613,102.741
731,342.15753,102.78372
732,342.2181,102.826126
733,342.27805,102.868225
734,342.3373,102.910126
735,342.3959,102.95166
736,342.45392,102.99293
737,342.51126,103.03393
738,342.56805,103.07457
739,342.62402,103.11504
740,342.67914,103.15508
741,342.73358,103.19487
742,342.78735,103.234474
743,342.84042,103.27372
744,342.89282,103.31268
745,342.94464,103.3514
746,342.99567,103.3898
747,343.04605,103.42791
748,343.0956,103.4658
749,343.14453,103.503426
750,343.19272,103.5407
751,343.24026,103.577705
752,343.28708,103.614395
753,343.33328,103.65079
754,343.3788,103.68701
755,343.4237,103.72287
756,343.46786,103.75839
757,343.51138,103.79365
758,343.55414,103.82867
759,343.59586,103.86378
760,343.6368,103.89868
761,343.67712,103.933304
762,343.7167,103.96757
763,343.75568,104.00156
764,343.79404,104.03536
765,343.83167,104.068695
766,343.86865,104.10181
767,343.90503,104.134636
768,343.94073,104.16724
769,343.97577,104.199356
770,344.01016,104.231285
771,344.04395,104.262985
772,344.07703,104.29424
773,344.10944,104.32528
774,344.14117,104.355934
775,344.17236,104.38637
776,344.20282,104.41646
777,344.23264,104.446266
778,344.2618,104.47574
779,344.2904,104.50496
780,344.3183,104.53385
781,344.34552,104.56237
782,344.37213,104.5907
783,344.39813,104.61867
784,344.4234,104.646324
785,344.44812,104.67362
786,344.47214,104.70071
787,344.49548,104.7274
788,344.51822,104.75383
789,344.5404,104.780045
790,344.56183,104.80579
791,344.58264,104.831276
792,344.60278,104.85646
793,344.6223,104.88134
794,344.6412,104.90593
795,344.6595,104.93016
796,344.6771,104.9541
797,344.69406,104.977745
798,344.7104,105.00103
799,344.72607,105.02406
800,344.74115,105.04687
801,344.75546,105.06934
802,344.76917,105.09141
803,344.7823,105.11334
804,344.79468,105.134834
805,344.8065,105.156044
806,344.8177,105.17705
807,344.82825,105.19759
808,344.8381,105.21781
809,344.84735,105.23783
810,344.85602,105.25756
811,344.86398,105.27683
812,344.87137,105.29588
813,344.87805,105.31462
814,344.8842,105.333046
815,344.88965,105.351105
816,344.89453,105.368904
817,344.89877,105.38637
818,344.90237,105.40356
819,344.90536,105.42034
820,344.90765,105.43684
821,344.9094,105.45311
822,344.91043,105.46897
823,344.91083,105.48448
824,344.91064,105.499756
825,344.90985,105.51473
826,344.9084,105.52939
827,344.90628,105.54367
828,344.90356,105.55772
829,344.90027,105.571465
830,344.89624,105.58478
831,344.89166,105.59794
832,344.88638,105.610634
833,344.8805,105.623085
834,344.874,105.63523
835,344.86685,105.647064
836,344.859,105.658516
837,344.8507,105.66977
838,344.84164,105.680595
839,344.832,105.6911
840,344.8217,105.70143
841,344.81073,105.711334
842,344.79922,105.72098
843,344.7871,105.73032
